timestamp,dx_rel,dy_rel,ear_left,ear_right,blink_l,blink_r,dist_cm,brightness,label
2025-12-12T16:42:47.593535,0.0184,-0.0096,0.4618,0.4606,0,0,45.2,116,CENTER
2025-12-12T16:42:47.659911,0.0164,-0.0098,0.4580,0.4594,0,0,45.2,116,CENTER
2025-12-12T16:42:47.771109,0.0158,-0.0066,0.4586,0.4584,0,0,45.2,116,CENTER
2025-12-12T16:42:47.831890,0.0133,-0.0027,0.4573,0.4620,0,0,45.4,116,CENTER
2025-12-12T16:42:47.937203,0.0202,-0.0026,0.4630,0.4600,0,0,45.4,116,CENTER
2025-12-12T16:42:48.030036,0.0175,-0.0052,0.4581,0.4516,0,0,45.1,116,CENTER
2025-12-12T16:42:48.111684,0.0126,-0.0059,0.4558,0.4589,0,0,44.9,116,CENTER
2025-12-12T16:42:48.193658,0.0153,-0.0073,0.4552,0.4774,0,0,45.0,116,CENTER
2025-12-12T16:42:48.282175,0.0132,-0.0055,0.4536,0.4396,0,0,44.4,116,CENTER
2025-12-12T16:42:48.352967,0.0101,-0.0152,0.4513,0.4778,0,0,45.2,116,CENTER
2025-12-12T16:42:48.465888,0.0092,-0.0141,0.4555,0.4703,0,0,45.1,116,CENTER
2025-12-12T16:42:48.528548,0.0124,-0.0117,0.4566,0.4709,0,0,45.2,116,CENTER
2025-12-12T16:42:48.633663,0.0128,-0.0060,0.4593,0.4695,0,0,44.9,116,CENTER
2025-12-12T16:42:48.699234,0.0166,-0.0110,0.4530,0.4676,0,0,45.1,116,CENTER
2025-12-12T16:42:48.784060,0.0162,-0.0102,0.4578,0.4729,0,0,45.2,116,CENTER
2025-12-12T16:42:48.899941,0.0175,-0.0122,0.4570,0.4651,0,0,44.9,116,CENTER
2025-12-12T16:42:48.970752,0.0088,-0.0121,0.4642,0.4715,0,0,44.8,116,CENTER
2025-12-12T16:42:49.068571,0.0146,-0.0230,0.4639,0.4848,0,0,45.4,116,CENTER
2025-12-12T16:42:49.133301,0.0165,-0.0098,0.4588,0.4582,0,0,44.7,116,CENTER
2025-12-12T16:42:49.227194,0.0147,-0.0086,0.4569,0.4447,0,0,44.2,116,CENTER
2025-12-12T16:42:55.040542,0.0144,-0.0129,0.4818,0.5038,0,0,44.9,116,CENTER
2025-12-12T16:42:55.131760,0.0180,-0.0092,0.4861,0.4903,0,0,44.7,116,CENTER
2025-12-12T16:42:55.196051,0.0213,-0.0161,0.4908,0.4978,0,0,45.0,116,CENTER
2025-12-12T16:42:55.302159,0.0230,-0.0153,0.4913,0.4889,0,0,44.9,116,CENTER
2025-12-12T16:42:55.381114,0.0231,-0.0097,0.4865,0.4892,0,0,44.5,116,CENTER
2025-12-12T16:42:55.470715,0.0278,-0.0125,0.4838,0.4939,0,0,44.7,116,CENTER
2025-12-12T16:42:55.564564,0.0268,-0.0149,0.4769,0.5029,0,0,44.7,116,CENTER
2025-12-12T16:42:55.652552,0.0257,-0.0119,0.4808,0.4867,0,0,45.1,116,CENTER
2025-12-12T16:42:55.742075,0.0236,-0.0160,0.4773,0.4823,0,0,44.7,116,CENTER
2025-12-12T16:42:55.815589,0.0229,-0.0182,0.4751,0.4751,0,0,44.9,116,CENTER
2025-12-12T16:42:55.913550,0.0191,-0.0161,0.4766,0.4906,0,0,44.9,116,CENTER
2025-12-12T16:42:56.000553,0.0232,-0.0159,0.4862,0.4972,0,0,45.0,116,CENTER
2025-12-12T16:42:56.063573,0.0215,-0.0155,0.4850,0.4892,0,0,44.7,116,CENTER
2025-12-12T16:42:56.154625,0.0134,-0.0117,0.4697,0.4848,0,0,44.6,116,CENTER
2025-12-12T16:42:56.256153,0.0175,-0.0126,0.4689,0.4893,0,0,45.1,116,CENTER
2025-12-12T16:42:56.336354,0.0180,-0.0107,0.4752,0.4825,0,0,45.0,116,CENTER
2025-12-12T16:42:56.428002,0.0139,-0.0082,0.4622,0.4612,0,0,44.5,116,CENTER
2025-12-12T16:42:56.497495,0.0206,-0.0132,0.4634,0.4630,0,0,45.0,116,CENTER
2025-12-12T16:42:56.600162,0.0120,-0.0114,0.4611,0.4521,0,0,44.2,116,CENTER
2025-12-12T16:42:56.679426,0.0151,-0.0209,0.4614,0.4896,0,0,45.5,116,CENTER
2025-12-12T16:42:56.765189,0.0105,-0.0143,0.4687,0.4561,0,0,44.5,116,CENTER
2025-12-12T16:42:56.859981,0.0058,-0.0141,0.4605,0.4685,0,0,44.4,116,CENTER
2025-12-12T16:42:56.951320,0.0124,-0.0181,0.4645,0.4846,0,0,45.3,116,CENTER
2025-12-12T16:42:57.028894,0.0125,-0.0141,0.4669,0.4749,0,0,44.9,116,CENTER
2025-12-12T16:42:57.113361,0.0137,-0.0145,0.4590,0.4722,0,0,44.8,116,CENTER
2025-12-12T16:42:57.192407,0.0128,-0.0132,0.4611,0.4724,0,0,44.6,116,CENTER
